Model:	LI-7200 Enclosed CO2/H2O Analyzer
SN:	72H-0848
Instrument:	LATICE-Flux_Finse
File Type:	2
Software Version:	8.7.5
Timestamp:	09:30:00
Timezone:	UTC
DATAH	Seconds	Nanoseconds	Diagnostic Value	Diagnostic Value 2	Date	Time	CO2 (mmol/m^3)	H2O (mmol/m^3)	Total Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - SOS (m/s)	CO2 dry(umol/mol)	H2O dry(mmol/mol)	Cell Temperature (C)	Temperature In (C)	Temperature Out (C)	Average Signal Strength	CO2 Signal Strength	H2O Signal Strength	Delta Signal Strength	Flow Rate (lpm)	CHK
DATA	1534152600	0	8191	1	2018-08-13	09:30:00:000	14.1989	232.23	86.2995	-0.417316	0.492821	0.262226	337.171	394.706	6.45563	13.6001	15.4454	13.1387	101.689	101.272	102.106	-0.833523	14.7868	 30
DATA	1534152600	100000000	8191	1	2018-08-13	09:30:00:100	14.1955	231.921	86.2977	-0.27651	0.556082	0.321915	337.186	394.652	6.44768	13.5974	15.57	13.1042	101.69	101.274	102.105	-0.831199	14.7868	 28
DATA	1534152600	200000000	8191	1	2018-08-13	09:30:00:200	14.2004	231.828	86.2947	-0.372422	0.699949	0.417826	337.202	394.769	6.4448	13.5671	15.4542	13.0953	101.692	101.276	102.107	-0.83096	14.7868	138
DATA	1534152600	300000000	8191	1	2018-08-13	09:30:00:300	14.1963	231.736	86.2977	-0.371401	0.683623	0.366045	337.155	394.65	6.44215	13.5979	15.486	13.1259	101.691	101.274	102.107	-0.833273	14.7868	131
DATA	1534152600	400000000	8191	1	2018-08-13	09:30:00:400	14.1997	231.988	86.2965	-0.323446	0.650973	0.349719	337.106	394.779	6.44971	13.5901	15.4313	13.1297	101.69	101.274	102.105	-0.831199	14.7868	210
DATA	1534152600	500000000	8191	1	2018-08-13	09:30:00:500	14.2013	231.848	86.2953	-0.418337	0.587712	0.382115	337.171	394.883	6.44681	13.6031	15.4454	13.1426	101.688	101.272	102.103	-0.831449	14.7868	215
DATA	1534152600	600000000	8191	1	2018-08-13	09:30:00:600	14.1986	231.476	86.2953	-0.322425	0.621383	0.402011	337.139	394.749	6.43548	13.6243	15.4542	13.1668	101.69	101.274	102.105	-0.831199	14.7868	173
DATA	1534152600	700000000	8191	1	2018-08-13	09:30:00:700	14.2008	231.549	86.2971	-0.434662	0.588732	0.33773	337.249	394.766	6.4368	13.6197	15.4364	13.1655	101.688	101.272	102.103	-0.831437	14.7868	148
DATA	1534152600	800000000	8191	1	2018-08-13	09:30:00:800	14.1985	231.538	86.2928	-0.6122	0.619342	0.353801	337.218	394.748	6.43723	13.6021	15.5166	13.1234	101.692	101.277	102.108	-0.83096	14.7868	 69
DATA	1534152600	900000000	8191	1	2018-08-13	09:30:00:900	14.1992	231.134	86.2983	-0.659135	0.667298	0.142847	337.123	394.732	6.42544	13.6314	15.5204	13.1592	101.691	101.274	102.108	-0.833273	14.7868	232
DATA	1534152601	0	8191	1	2018-08-13	09:30:01:000	14.2006	230.988	86.3006	-0.738721	0.588732	0.134429	337.248	394.757	6.42115	13.5983	15.4212	13.1426	101.688	101.272	102.103	-0.831449	14.7868	 85
DATA	1534152601	100000000	8191	1	2018-08-13	09:30:01:100	14.2027	230.745	86.2965	-0.756067	0.522411	0.00663217	337.122	394.807	6.41425	13.6039	15.3983	13.1553	101.691	101.274	102.108	-0.833273	14.7868	 45
DATA	1534152601	200000000	8191	1	2018-08-13	09:30:01:200	14.2033	230.782	86.2983	-0.725457	0.649952	0.0232126	337.027	394.841	6.41559	13.5906	15.4289	13.1311	101.692	101.277	102.108	-0.83096	14.7868	223
DATA	1534152601	300000000	8191	1	2018-08-13	09:30:01:300	14.1986	230.378	86.2959	-0.644851	0.633627	-0.0216821	337.124	394.661	6.40354	13.585	15.4721	13.1132	101.692	101.277	102.108	-0.83096	14.7868	216
DATA	1534152601	400000000	8191	1	2018-08-13	09:30:01:400	14.2032	230.618	86.2983	-0.578529	0.553021	-0.109941	337.123	394.873	6.41156	13.5927	15.4696	13.1234	101.69	101.274	102.106	-0.831199	14.6658	214
DATA	1534152601	500000000	8191	1	2018-08-13	09:30:01:500	14.2035	230.721	86.2959	-0.579549	0.601997	-0.161723	337.187	394.831	6.41359	13.5927	15.434	13.1324	101.689	101.274	102.103	-0.829124	14.6658	227
DATA	1534152601	600000000	8191	1	2018-08-13	09:30:01:600	14.203	230.732	86.2947	-0.577509	0.665257	-0.221412	337.058	394.904	6.41532	13.6016	15.4072	13.1502	101.688	101.272	102.103	-0.831449	14.6658	189
DATA	1534152601	700000000	8191	1	2018-08-13	09:30:01:700	14.2002	230.613	86.2941	-0.546899	0.763209	-0.193353	337.121	394.832	6.4121	13.6113	15.4708	13.1464	101.689	101.272	102.106	-0.833523	14.6658	192
DATA	1534152601	800000000	8191	1	2018-08-13	09:30:01:800	14.2002	230.734	86.2905	-0.563224	0.85606	-0.221667	337.216	394.772	6.41448	13.5847	15.4861	13.1094	101.688	101.272	102.103	-0.831449	14.6658	211
DATA	1534152601	900000000	8191	1	2018-08-13	09:30:01:900	14.2005	231.144	86.2947	-0.371401	0.779535	-0.221412	337.138	394.927	6.42828	13.6386	15.4797	13.1783	101.687	101.27	102.103	-0.833762	14.6658	228
DATA	1534152602	0	8191	1	2018-08-13	09:30:02:000	14.1963	231.347	86.2959	-0.565265	0.729538	-0.305335	337.187	394.782	6.43348	13.6593	15.5014	13.1988	101.69	101.275	102.106	-0.831199	14.6658	117
DATA	1534152602	100000000	8191	1	2018-08-13	09:30:02:100	14.1982	231.62	86.2953	-0.453028	0.681583	-0.380839	337.328	394.771	6.44004	13.6601	15.551	13.1873	101.689	101.272	102.106	-0.833511	14.6658	154
DATA	1534152602	200000000	8191	1	2018-08-13	09:30:02:200	14.1984	232.261	86.2982	-0.421398	0.680562	-0.388747	337.058	394.675	6.45617	13.586	15.4416	13.1221	101.689	101.272	102.106	-0.833523	14.6658	231
DATA	1534152602	300000000	8191	1	2018-08-13	09:30:02:300	14.1912	232.577	86.2953	-0.564244	0.601997	-0.325231	337.185	394.492	6.46527	13.5846	15.4544	13.1171	101.69	101.275	102.106	-0.831199	14.6658	225
DATA	1534152602	400000000	8191	1	2018-08-13	09:30:02:400	14.192	233.146	86.2941	-0.565265	0.601997	-0.328802	337.201	394.558	6.48182	13.5866	15.5052	13.1069	101.689	101.275	102.104	-0.829136	14.6658	225
DATA	1534152602	500000000	8191	1	2018-08-13	09:30:02:500	14.1906	233.4	86.2928	-0.566285	0.618322	-0.320895	337.154	394.593	6.49006	13.5909	15.5065	13.112	101.687	101.27	102.104	-0.833762	14.6658	 67
DATA	1534152602	600000000	8191	1	2018-08-13	09:30:02:600	14.1919	233.85	86.2916	-0.577509	0.729538	-0.309161	337.409	394.527	6.50093	13.6075	15.5078	13.1324	101.691	101.279	102.104	-0.824499	14.6658	243
DATA	1534152602	700000000	8191	1	2018-08-13	09:30:02:700	14.192	233.785	86.297	-0.564244	0.791779	-0.245645	337.298	394.661	6.50126	13.6049	15.5663	13.1146	101.686	101.27	102.102	-0.831687	14.6658	147
DATA	1534152602	800000000	8191	1	2018-08-13	09:30:02:800	14.1933	234.028	86.291	-0.58159	0.793819	-0.26146	337.17	394.668	6.50752	13.6479	15.4849	13.1886	101.688	101.272	102.104	-0.831449	14.6658	109
DATA	1534152602	900000000	8191	1	2018-08-13	09:30:02:900	14.1904	233.885	86.2904	-0.660156	0.729538	-0.229065	337.266	394.499	6.50211	13.6216	15.4506	13.1643	101.691	101.277	102.106	-0.828886	14.6658	 36
DATA	1534152603	0	8191	1	2018-08-13	09:30:03:000	14.1931	233.537	86.2947	-0.596895	0.745864	-0.237483	337.138	394.675	6.49408	13.5797	15.5014	13.0992	101.69	101.277	102.104	-0.826824	14.6658	133
DATA	1534152603	100000000	8191	1	2018-08-13	09:30:03:100	14.1956	233.635	86.2945	-0.64383	0.633627	-0.22932	337.185	394.698	6.49603	13.6195	15.5065	13.1477	101.691	101.275	102.108	-0.833273	14.6658	186
DATA	1534152603	200000000	8191	1	2018-08-13	09:30:03:200	14.1894	233.418	86.297	-0.547919	0.715254	-0.22881	337.138	394.624	6.49163	13.6557	15.5345	13.186	101.691	101.277	102.106	-0.828886	14.6658	150
DATA	1534152603	300000000	8191	1	2018-08-13	09:30:03:300	14.193	233.062	86.2922	-0.596895	0.679542	-0.197434	337.284	394.662	6.48073	13.6527	15.5346	13.1823	101.693	101.279	102.106	-0.826585	14.6658	252
DATA	1534152603	400000000	8191	1	2018-08-13	09:30:03:400	14.1923	232.843	86.2976	-0.563224	0.88871	-0.177283	337.217	394.64	6.4746	13.6366	15.5613	13.1555	101.692	101.277	102.106	-0.828898	14.6658	151
DATA	1534152603	500000000	8191	1	2018-08-13	09:30:03:500	14.1883	233.042	86.2988	-0.516289	0.842795	-0.128817	337.218	394.463	6.47904	13.604	15.5155	13.1261	101.691	101.275	102.108	-0.833285	14.6658	236
