Instrument:	129.240.244.146
File Type:	2
Software Version:	8.7.5
Timestamp:	23:30:00
Timezone:	UTC
DATAH	DATE	TIME	BEC_3_1_1(other)	CS650PERIOD_3_1_1(other)	CS650VRATIO_3_1_1(other)	FC1DRIFTmax_1_1_1(other)	FC1DRIFTmean_1_1_1(other)	FC1DRIFTmin_1_1_1(other)	FC1DRIFTstd_1_1_1(other)	FC1DRIFTsum_1_1_1(other)	FC1WSmax_1_1_1(m/s)	FC1WSmean_1_1_1(m/s)	FC1WSmin_1_1_1(m/s)	FC2DRIFTmax_1_1_1(other)	FC2DRIFTmean_1_1_1(other)	FC2DRIFTmin_1_1_1(other)	FC2DRIFTstd_1_1_1(other)	FC2DRIFTsum_1_1_1(other)	FC2WSmax_1_1_1(m/s)	FC2WSmean_1_1_1(m/s)	FC2WSmin_1_1_1(m/s)	LWIN_1_1_1(W/m^2)	LWOUT_1_1_1(W/m^2)	METNORR_1_1_1(other)	METNOR_1_1_1(other)	METNOS_1_1_1(other)	PA_1_1_1(kPa)	PERMITTIVITY_3_1_1(other)	RH_1_1_1(%)	RH_1_2_1(%)	SHF_1_1_1(W/m^2)	SHF_1_1_2(other)	SHF_2_1_1(W/m^2)	SHF_2_1_2(other)	SWC_3_1_1(m^3/m^3)	SWIN_1_1_1(W/m^2)	SWOUT_1_1_1(W/m^2)	TA_1_1_1(C)	TA_1_2_1(C)	TSS_1_1_1(C)	TS_1_1_1(C)	TS_2_1_1(C)	TS_3_1_1(C)	VIN_1_1_1(V)	WD_1_1_1(degrees)	WS_1_1_1(m/s)	CHK
DATA	2018-08-13	23:30:00:000	0.003	3.0178	1.0091	0.002	0.002	0.002	0	0.009	3.46194	3.45139	3.4125	0.001	0.001	0.001	0	0.007	2.59111	2.54944	2.52167	2149.39	323.535	0	388.455	0.06	87.266	15.4563	72.5828	76.5439	-14.3382	-0.608169	-22.9942	-1.01372	0.2828	-7.98164	-3.44458	5.44284	5.8858	0.945	8.2	10.234	8.4518	13.698	117	0.36	 66
DATA	2018-08-13	23:31:00:000	0.003	3.0178	1.009	0.002	0.002	0.002	0	0.009	3.41917	3.39722	3.37083	0.001	0.001	0.001	0	0.006	2.53417	2.38	2.3675	2158.48	322.116	0	388.451	0.06	87.2658	15.4565	72.2448	76.5504	-14.3916	-0.610435	-23.0529	-1.01631	0.2828	-8.16291	-3.6643	5.40251	5.84544	0.73719	8.2	10.2157	8.4198	13.7037	0	0.17	214
DATA	2018-08-13	23:32:00:000	0.0034	3.0178	1.0101	0.002	0.002	0.002	0	0.017	3.36556	3.31806	3.28833	0.001	0.001	0.001	0	0.011	2.38056	2.30917	2.23417	2338.73	323.642	0	388.439	0.07	87.266	15.454	74.0027	78.0746	-14.4145	-0.611406	-23.0896	-1.01793	0.2828	-9.25639	-4.60828	5.28145	5.8051	0.90602	8.2	10.2049	8.4489	13.6821	19	0.67	221
DATA	2018-08-13	23:33:00:000	0.0032	3.0178	1.0094	0.002	0.002	0.002	0	0.018	3.35389	3.34917	3.33361	0.001	0.001	0.001	0	0.011	2.36056	2.36028	2.26389	2590.21	324.454	0	388.438	0.07	87.2657	15.4555	78.6004	78.7886	-14.4603	-0.613348	-23.1337	-1.01987	0.2828	-9.31616	-4.62339	5.20078	5.68408	1.06353	8.2	10.1699	8.4372	13.675	19	0.81	105
DATA	2018-08-13	23:34:00:000	0.0032	3.0178	1.0097	0.002	0.002	0.002	0	0.019	3.42	3.40694	3.38528	0.001	0.001	0.001	0	0.012	2.39694	2.375	2.27944	2711.23	324.408	0	388.446	0.06	87.266	15.4548	76.2677	79.4689	-14.4908	-0.614643	-23.1631	-1.02117	0.2828	-9.16919	-4.4525	5.07973	5.52267	1.12301	8.2	10.1075	8.4489	13.7177	20	0.64	 51
DATA	2018-08-13	23:35:00:000	0.0032	3.0178	1.0096	0.002	0.002	0.002	0	0.019	3.47445	3.44583	3.40694	0.001	0.001	0.001	0	0.012	2.4425	2.40361	2.32194	2729.71	324.063	0	388.448	0.06	87.266	15.4552	76.0649	79.9932	-14.5824	-0.618527	-23.1924	-1.02246	0.2828	-8.9066	-4.28858	5.07973	5.44199	1.05778	8.2	10.0522	8.4547	13.6824	39	0.58	 25
DATA	2018-08-13	23:36:00:000	0.0029	3.0178	1.0087	0.002	0.002	0.002	0	0.019	3.4825	3.47417	3.45722	0.001	0.001	0.001	0	0.013	2.50472	2.4	2.38861	2635.04	323.944	0	388.449	0.07	87.2658	15.4572	76.3354	80.0382	-14.6206	-0.620145	-23.2438	-1.02473	0.2828	-8.74395	-4.26068	5.07973	5.3613	1.04291	8.2	10.0145	8.4314	13.7139	48	0.62	 72
DATA	2018-08-13	23:37:00:000	0.0034	3.0178	1.0101	0.002	0.002	0.002	0	0.01	3.48	3.45917	3.42361	0.001	0.001	0.001	0	0.007	2.47306	2.42305	2.34111	2301.94	323.483	0	388.441	0.07	87.2657	15.454	76.0987	79.7709	-14.6664	-0.622087	-23.2732	-1.02602	0.2828	-8.54798	-4.0305	5.12006	5.3613	0.90063	8.2	9.9879	8.4024	13.6945	49	0.5	172
DATA	2018-08-13	23:38:00:000	0.0032	3.0178	1.0097	0.002	0.002	0.002	0	0.019	3.51028	3.47833	3.44	0.001	0.001	0.001	0	0.013	2.51278	2.47722	2.285	2519.88	323.468	0	388.446	0.07	87.2659	15.4548	79.2089	79.7807	-14.7045	-0.623706	-23.3246	-1.02829	0.2828	-8.38141	-3.97703	5.16042	5.32095	0.97596	8.1	9.98301	8.3849	13.7256	37	0.51	196
DATA	2018-08-13	23:39:00:000	0.0027	3.0178	1.0082	0.002	0.002	0.002	0	0.01	3.48944	3.4775	3.43944	0.001	0.001	0.001	0	0.007	2.56056	2.48195	2.36389	2124.81	323.521	0	388.448	0.06	87.2654	15.4585	75.7945	79.8714	-14.7427	-0.625324	-23.3686	-1.03023	0.2828	-8.33732	-3.94447	5.16042	5.32095	0.99139	8.1	9.97278	8.3878	13.6841	19	0.56	107
