,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 09:30:00.000,-0.417316,0.492821,0.262226,9.748061099,394.706,6.45563
2018-08-13 09:30:00.100,-0.27651,0.556082,0.321915,9.77323269032,394.652,6.44768
2018-08-13 09:30:00.200,-0.372422,0.699949,0.417826,9.80008362199,394.769,6.4448
2018-08-13 09:30:00.300,-0.371401,0.683623,0.366045,9.72121263587,394.65,6.44215
2018-08-13 09:30:00.400,-0.323446,0.650973,0.349719,9.63899714326,394.779,6.44971
2018-08-13 09:30:00.500,-0.418337,0.587712,0.382115,9.748061099,394.883,6.44681
2018-08-13 09:30:00.600,-0.322425,0.621383,0.402011,9.69436544683,394.749,6.43548
2018-08-13 09:30:00.700,-0.434662,0.588732,0.33773,9.87896560211,394.766,6.4368
2018-08-13 09:30:00.800,-0.6122,0.619342,0.353801,9.82693582776,394.748,6.43723
2018-08-13 09:30:00.900,-0.659135,0.667298,0.142847,9.66751953187,394.732,6.42544
2018-08-13 09:30:01.000,-0.738721,0.588732,0.134429,9.87728714764,394.757,6.42115
2018-08-13 09:30:01.100,-0.756067,0.522411,0.00663217,9.66584170449,394.807,6.41425
2018-08-13 09:30:01.200,-0.725457,0.649952,0.0232126,9.506470798,394.841,6.41559
2018-08-13 09:30:01.300,-0.644851,0.633627,-0.0216821,9.66919736423,394.661,6.40354
2018-08-13 09:30:01.400,-0.578529,0.553021,-0.109941,9.66751953187,394.873,6.41156
2018-08-13 09:30:01.500,-0.579549,0.601997,-0.161723,9.77491083622,394.831,6.41359
2018-08-13 09:30:01.600,-0.577509,0.665257,-0.221412,9.55847110408,394.904,6.41532
2018-08-13 09:30:01.700,-0.546899,0.763209,-0.193353,9.66416388209,394.832,6.4121
2018-08-13 09:30:01.800,-0.563224,0.85606,-0.221667,9.82357923236,394.772,6.41448
2018-08-13 09:30:01.900,-0.371401,0.779535,-0.221412,9.69268753982,394.927,6.42828
2018-08-13 09:30:02.000,-0.565265,0.729538,-0.305335,9.77491083622,394.782,6.43348
2018-08-13 09:30:02.100,-0.453028,0.681583,-0.380839,10.0115792324,394.771,6.44004
2018-08-13 09:30:02.200,-0.421398,0.680562,-0.388747,9.55847110408,394.675,6.45617
2018-08-13 09:30:02.300,-0.564244,0.601997,-0.325231,9.77155454939,394.492,6.46527
2018-08-13 09:30:02.400,-0.565265,0.601997,-0.328802,9.79840540144,394.558,6.48182
2018-08-13 09:30:02.500,-0.566285,0.618322,-0.320895,9.71953464923,394.593,6.49006
2018-08-13 09:30:02.600,-0.577509,0.729538,-0.309161,10.1475824201,394.527,6.50093
2018-08-13 09:30:02.700,-0.564244,0.791779,-0.245645,9.96121596791,394.661,6.50126
2018-08-13 09:30:02.800,-0.58159,0.793819,-0.26146,9.74638303273,394.668,6.50752
2018-08-13 09:30:02.900,-0.660156,0.729538,-0.229065,9.90750008958,394.499,6.50211
2018-08-13 09:30:03.000,-0.596895,0.745864,-0.237483,9.69268753982,394.675,6.49408
2018-08-13 09:30:03.100,-0.64383,0.633627,-0.22932,9.77155454939,394.698,6.49603
2018-08-13 09:30:03.200,-0.547919,0.715254,-0.22881,9.69268753982,394.624,6.49163
2018-08-13 09:30:03.300,-0.596895,0.679542,-0.197434,9.93771464405,394.662,6.48073
2018-08-13 09:30:03.400,-0.563224,0.88871,-0.177283,9.82525752757,394.64,6.4746
2018-08-13 09:30:03.500,-0.516289,0.842795,-0.128817,9.82693582776,394.463,6.47904
2018-08-13 09:30:03.600,-0.515268,0.839734,-0.0897893,10.0401204038,394.356,6.4919
2018-08-13 09:30:03.700,-0.500984,0.760148,-0.137235,10.013258085,394.609,6.50787
2018-08-13 09:30:03.800,-0.470374,0.744843,-0.0974418,9.87896560211,394.521,6.50972
2018-08-13 09:30:03.900,-0.420377,0.664237,-0.125756,9.9343573917,394.697,6.51079
2018-08-13 09:30:04.000,-0.450987,0.681583,-0.10586,9.85378930761,394.737,6.49764
2018-08-13 09:30:04.100,-0.499963,0.664237,-0.101523,10.0384414716,394.575,6.4606
2018-08-13 09:30:04.200,-0.499963,0.698928,-0.12142,9.82693582776,394.696,6.4543
2018-08-13 09:30:04.300,-0.471394,0.730559,-0.121675,9.90246448728,394.618,6.43806
2018-08-13 09:30:04.400,-0.469353,0.874425,-0.0573937,9.69604335882,394.809,6.43801
2018-08-13 09:30:04.500,-0.468333,0.85606,-0.0660666,9.82693582776,394.603,6.43708
2018-08-13 09:30:04.600,-0.467313,0.871365,-0.0658115,9.87896560211,394.677,6.44176
2018-08-13 09:30:04.700,-0.499963,0.889731,-0.0897893,9.9880758182,394.646,6.43883
2018-08-13 09:30:04.800,-0.404052,0.890751,-0.109686,9.77323269032,394.602,6.4491
2018-08-13 09:30:04.900,-0.419357,0.85708,-0.145653,9.61383152423,394.483,6.46196
2018-08-13 09:30:05.000,-0.372422,0.952991,-0.0895342,9.82693582776,394.486,6.46815
2018-08-13 09:30:05.100,-0.546899,0.937686,-0.073464,9.82861413292,394.702,6.47926
2018-08-13 09:30:05.200,-0.485679,0.889731,-0.205087,9.85378930761,394.66,6.47079
2018-08-13 09:30:05.300,-0.498943,0.904015,-0.045915,9.93603601539,394.648,6.46139
2018-08-13 09:30:05.400,-0.499963,0.762189,-0.0895342,9.77323269032,394.654,6.46871
2018-08-13 09:30:05.500,-0.64383,0.650973,0.0227024,9.74638303273,394.593,6.47075
2018-08-13 09:30:05.600,-0.818307,0.791779,-0.133409,9.77491083622,394.695,6.47247
