,LE,T_air,P_air,RH_air,wind_speed,wind_dir,Enet,ground_heat_flux
2015-06-01 08:30:00,14.2144411253,2.325161,1016.879,80.66074,4.77236609665,107.143310971,348.956593962,13.66815
2015-06-01 09:00:00,19.2777943619,2.337333,1016.794,81.91886,5.30532419763,105.781836199,351.893542537,15.08879
2015-06-01 09:30:00,15.6171396362,2.172278,1016.808,82.21066,6.06170103142,104.992899424,411.856761949,16.15566
2015-06-01 10:00:00,13.8757631883,1.998183,1016.796,81.75561,6.34128420821,104.451851501,304.556982401,16.5431
2015-06-01 10:30:00,20.2149107424,2.332133,1016.831,80.23505,6.02644584074,106.67325554,385.062729567,16.0146
2015-06-01 11:00:00,18.3246724772,2.285856,1016.791,79.27924,5.86981185538,109.395171844,348.926912369,15.46725
2015-06-01 11:30:00,21.7509845806,2.399928,1016.658,78.11698,5.6903919682,114.151932738,315.868653121,15.23594
2015-06-01 12:00:00,23.2559647759,2.61155,1016.604,77.09232,5.78044225626,116.509668951,453.747228219,15.00138
2015-06-01 14:00:00,44.1627594914,3.274994,1016.279,73.93464,5.36150636171,117.064694139,442.899070876,16.70456
2015-06-01 14:30:00,50.3156495162,3.387878,1016.175,74.23245,5.3709371523,114.562052021,430.218522569,17.46106
2015-06-01 15:00:00,49.601524913,3.424983,1016.052,73.84484,5.63551717828,115.279466828,412.723837796,18.08705
2015-06-01 15:30:00,36.7099950381,3.1974,1016.094,74.60571,5.47826676628,125.755847444,391.471974608,18.33591
2015-06-01 16:30:00,37.8512626375,3.124455,1015.843,73.63334,6.33118942932,120.957485424,340.363506631,18.45796
2015-06-01 17:00:00,40.1494043093,3.028333,1015.705,73.91231,5.77186325411,124.744734109,309.982354957,17.98755
2015-06-01 17:30:00,43.176202924,3.164711,1015.464,72.22766,6.33443402078,117.143435685,283.722701295,17.87678
2015-06-01 18:30:00,30.1913915034,2.900039,1015.21,73.9781,5.89849404688,127.163673733,222.386912678,16.42884
2015-06-01 21:00:00,12.0632419329,2.839611,1014.527,78.21737,5.78108402095,122.964784915,128.440050253,12.41324
2015-06-02 07:00:00,3.56988760649,2.130144,1011.68,83.115,5.9396167456,117.603921062,58.0395562477,5.123531
