,LE,T_air,wind_speed,Enet,RH_air
2015-06-01 08:30:00,14.2144411253,2.325161,4.77236609665,348.956593962,80.66074
2015-06-01 09:00:00,19.2777943619,2.337333,5.30532419763,351.893542537,81.91886
2015-06-01 09:30:00,15.6171396362,2.172278,6.06170103142,411.856761949,82.21066
2015-06-01 10:00:00,13.8757631883,1.998183,6.34128420821,304.556982401,81.75561
2015-06-01 10:30:00,20.2149107424,2.332133,6.02644584074,385.062729567,80.23505
2015-06-01 11:00:00,18.3246724772,2.285856,5.86981185538,348.926912369,79.27924
2015-06-01 11:30:00,21.7509845806,2.399928,5.6903919682,315.868653121,78.11698
2015-06-01 12:00:00,23.2559647759,2.61155,5.78044225626,453.747228219,77.09232
2015-06-01 14:00:00,44.1627594914,3.274994,5.36150636171,442.899070876,73.93464
2015-06-01 14:30:00,50.3156495162,3.387878,5.3709371523,430.218522569,74.23245
2015-06-01 15:00:00,49.601524913,3.424983,5.63551717828,412.723837796,73.84484
2015-06-01 15:30:00,36.7099950381,3.1974,5.47826676628,391.471974608,74.60571
2015-06-01 16:30:00,37.8512626375,3.124455,6.33118942932,340.363506631,73.63334
2015-06-01 17:00:00,40.1494043093,3.028333,5.77186325411,309.982354957,73.91231
2015-06-01 17:30:00,43.176202924,3.164711,6.33443402078,283.722701295,72.22766
2015-06-01 18:30:00,30.1913915034,2.900039,5.89849404688,222.386912678,73.9781
2015-06-01 21:00:00,12.0632419329,2.839611,5.78108402095,128.440050253,78.21737
2015-06-02 07:00:00,3.56988760649,2.130144,5.9396167456,58.0395562477,83.115
2015-06-02 07:30:00,2.54823901325,2.226311,5.31616274939,71.342356949,81.87222
2015-06-02 08:00:00,4.49281122502,2.194494,6.52955265315,83.3913757807,81.50893
2015-06-02 08:30:00,6.60622801371,2.033589,7.27032827463,95.6787897054,82.18566
2015-06-02 09:00:00,6.79794902049,1.975133,7.87547699021,130.674724703,80.51441
2015-06-02 09:30:00,8.70980084241,2.170328,7.36735478484,162.010058517,78.5788
2015-06-02 10:30:00,21.4249027292,2.879144,6.95309063975,298.631112247,77.09708
2015-06-02 11:00:00,9.99464793205,2.278816,8.00274842249,183.664287546,79.68474
2015-06-02 11:30:00,23.0529410948,2.658716,7.31137358697,271.057404631,78.53818
2015-06-02 12:00:00,17.3248780786,2.638522,8.08223918703,322.195021666,79.50974
2015-06-02 12:30:00,13.425975765,2.305433,8.07381792097,242.779141014,80.7049
2015-06-02 13:00:00,12.4261801636,2.181411,8.50479761402,216.044284408,81.52723
2015-06-02 13:30:00,12.6430707304,2.187994,8.216617096,187.894059561,80.86813
2015-06-02 14:00:00,14.6550830368,2.12835,8.33966306556,299.135712905,79.64967
2015-06-02 14:30:00,17.9192415895,1.783511,8.58355086243,196.404838475,79.9442
2015-06-02 15:30:00,12.3017644545,1.369594,8.96367326454,211.969905737,80.13515
2015-06-02 16:00:00,21.0955377231,2.104461,8.44348960474,500.806777532,79.20422
2015-06-02 16:30:00,24.9479957968,2.236072,8.46249878805,422.011187043,78.94983
2015-06-02 17:00:00,26.1750369652,2.174366,7.37744170672,267.724379077,78.06651
2015-06-02 17:30:00,13.904771554,2.208439,7.33202842589,270.470444536,76.72526
2015-06-02 18:00:00,20.581831771,2.059817,7.07714530114,192.905172222,77.7239
2015-06-02 18:30:00,10.902818131,1.808922,6.98531985865,136.967947022,79.97919
2015-06-02 19:30:00,8.4522347657,1.6548,6.28111076679,87.0126190587,79.67406
2015-06-02 20:00:00,10.2969995024,1.669161,5.71541937822,81.2815493558,80.11661
2015-06-02 20:30:00,8.96799848978,1.684183,5.49004859217,78.5665716758,80.29221
2015-06-02 21:00:00,9.41039833028,1.506139,5.86514096349,66.8705510638,79.84283
2015-06-02 21:30:00,7.49191685728,1.314461,6.02013936782,52.0815519536,79.01122
2015-06-02 22:00:00,6.16466162255,1.124528,6.09063155765,41.3737523432,78.93546
2015-06-02 22:30:00,6.66940228095,0.8082944,6.53795460869,42.3884821315,78.60478
2015-06-03 00:00:00,3.85402975962,0.9239721,4.25014320261,3.83064672474,76.65178
2015-06-03 02:00:00,3.57493860371,0.2679166,4.13602123114,49.4454276072,79.73442
2015-06-03 02:30:00,4.34608205215,0.4345889,3.81028450925,54.1732943072,80.63579
2015-06-03 04:30:00,5.39792159899,0.7854111,1.55170889804,75.7659708749,77.82481
2015-06-03 05:00:00,11.638961931,1.268628,0.545031204356,116.691388952,73.21292
2015-06-03 05:30:00,11.5556374158,0.9653277,1.11961125742,125.580593663,76.02959
2015-06-03 06:00:00,11.6365979099,0.9054833,1.23029989567,136.36439648,77.53785
